event_second,pair_1,ask_1,pair_2,ask_2,pair_3,ask_3,ratio
2024-02-17 15:53:23,AVAXBTC,0.0007638,BTCUSDT,51676.49,AVAXUSDT,39.75,0.992968630490566
2024-02-17 14:47:30,MATICBTC,1.791e-05,BTCUSDT,51699.85,MATICUSDT,0.9325,0.9929697731903485
2024-02-17 15:53:26,AVAXBTC,0.0007638,BTCUSDT,51676.64,AVAXUSDT,39.75,0.992971512754717
2024-02-17 14:37:30,ETHUSDC,2765.97,USDCUSDT,0.9991,ETHUSDT,2783.02,0.9929790756085116
2024-02-17 15:31:57,AVAXBTC,0.0007638,BTCUSDT,51600.01,AVAXUSDT,39.69,0.992997924867725
2024-02-17 15:32:22,AVAXBTC,0.0007638,BTCUSDT,51600.29,AVAXUSDT,39.69,0.9930033132275135
2024-02-17 14:51:51,SOLBTC,0.0021018,BTCUSDT,51720.21,SOLUSDT,109.47,0.9930166929569746
2024-02-17 15:09:46,LINKBTC,0.0003752,BTCUSDT,51675.07,LINKUSDT,19.524,0.9930591202622413
2024-02-17 16:17:08,DOGEBTC,1.62e-06,BTCUSDT,51547.32,DOGEUSDT,0.08409,0.9930628897609705
2024-02-17 15:52:22,AVAXBTC,0.0007638,BTCUSDT,51695.05,AVAXUSDT,39.76,0.9930754323440645
2024-02-17 15:52:24,AVAXBTC,0.0007638,BTCUSDT,51695.08,AVAXUSDT,39.76,0.9930760086519115
2024-02-17 14:37:17,MATICBTC,1.791e-05,BTCUSDT,51755.37,MATICUSDT,0.9334,0.9930776480608529
2024-02-17 15:53:35,AVAXBTC,0.0007638,BTCUSDT,51682.83,AVAXUSDT,39.75,0.9930904541886793
2024-02-17 15:53:36,AVAXBTC,0.0007638,BTCUSDT,51682.87,AVAXUSDT,39.75,0.993091222792453
2024-02-17 15:32:34,AVAXBTC,0.0007638,BTCUSDT,51604.97,AVAXUSDT,39.69,0.9930933758125474
2024-02-17 15:32:45,AVAXBTC,0.0007638,BTCUSDT,51605.19,AVAXUSDT,39.69,0.9930976095238097
2024-02-17 15:32:55,AVAXBTC,0.0007638,BTCUSDT,51605.47,AVAXUSDT,39.69,0.993102997883598
2024-02-17 15:53:31,AVAXBTC,0.0007639,BTCUSDT,51676.76,AVAXUSDT,39.75,0.9931038229937107
2024-02-17 15:52:16,AVAXBTC,0.0007638,BTCUSDT,51696.59,AVAXUSDT,39.76,0.9931050161468814
2024-02-17 15:09:05,BNBBTC,0.006859,BTCUSDT,51675.07,BNBUSDT,356.9,0.9931053660128888
2024-02-17 15:09:14,BNBBTC,0.006859,BTCUSDT,51675.08,BNBUSDT,356.9,0.993105558195573
2024-02-17 15:33:05,AVAXBTC,0.0007638,BTCUSDT,51605.71,AVAXUSDT,39.69,0.9931076164777023
2024-02-17 15:53:38,AVAXBTC,0.0007638,BTCUSDT,51684.06,AVAXUSDT,39.75,0.993114088754717
2024-02-17 15:53:40,AVAXBTC,0.0007638,BTCUSDT,51684.11,AVAXUSDT,39.75,0.9931150495094341
